Code for Pictures,Category,Product,Finish,Width,Height & Depth,Drawers,Style,Species, Price ,Colors,Description
P-HTBD-C-51-34-WF,Buffets & Sideboards,Penns Creek Colonial Huntboard,Finished,60,34h 16-3/4d,3,Colonial,Maple," $2,534.99 ",TBD,
P-HTBD-C-51-34-WF,Buffets & Sideboards,Penns Creek Colonial Huntboard,Finished,51,34h 16-3/4d,2,Colonial,Cherry," $2,314.99 ",TBD,
P-HTBD-C-51-34-WF,Buffets & Sideboards,Penns Creek Colonial Huntboard,Finished,60,34h 16-3/4d,3,Colonial,Cherry," $2,869.99 ",TBD,
P-HTBD-C-51-34-WF,Buffets & Sideboards,Penns Creek Colonial Huntboard,Finished,51,34h 16-3/4d,2,Colonial,Maple - Painted," $2,389.99 ",TBD,
P-HTBD-C-51-34-WF,Buffets & Sideboards,Penns Creek Colonial Huntboard,Finished,60,34h 16-3/4d,3,Colonial,Maple - Painted," $2,789.99 ",TBD,
P-HTBD-QA-60-34-WF,Buffets & Sideboards,Penns Creek Queen Anne Huntboard,Finished,51,34h 16-3/4d,2,Colonial,Oak," $2,339.99 ",TBD,"The Penns Creek Queen Anne huntboard is a throwback to a different time with its ornate, curved legs. The drawers are dovetailed and have full extension glides with a soft close feature.  The huntboard is constructed in solid oak, maple, and cherry.  The huntboard pictured is built in cherry."
P-HTBD-QA-60-34-WF,Buffets & Sideboards,Penns Creek Queen Anne Huntboard,Finished,60,34h 16-3/4d,3,Colonial,Oak," $2,679.99 ",TBD,
P-HTBD-QA-60-34-WF,Buffets & Sideboards,Penns Creek Queen Anne Huntboard,Finished,51,34h 16-3/4d,2,Colonial,Maple," $2,459.99 ",TBD,
P-HTBD-QA-60-34-WF,Buffets & Sideboards,Penns Creek Queen Anne Huntboard,Finished,60,34h 16-3/4d,3,Colonial,Maple," $2,824.99 ",TBD,
P-HTBD-QA-60-34-WF,Buffets & Sideboards,Penns Creek Queen Anne Huntboard,Finished,51,34h 16-3/4d,2,Colonial,Cherry," $2,599.99 ",TBD,
P-HTBD-QA-60-34-WF,Buffets & Sideboards,Penns Creek Queen Anne Huntboard,Finished,60,34h 16-3/4d,3,Colonial,Cherry," $3,159.99 ",TBD,
P-HTBD-QA-60-34-WF,Buffets & Sideboards,Penns Creek Queen Anne Huntboard,Finished,51,34h 16-3/4d,2,Colonial,Maple - Painted," $2,709.99 ",TBD,
P-HTBD-QA-60-34-WF,Buffets & Sideboards,Penns Creek Queen Anne Huntboard,Finished,60,34h 16-3/4d,3,Colonial,Maple - Painted," $3,109.99 ",TBD,
